GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finance-app,com.financeapp.dto,CategorySummaryResponse.CategorySummaryResponseBuilder,6,21,0,0,0,1,1,4,1,4
finance-app,com.financeapp.dto,FinancialRecordResponse.FinancialRecordResponseBuilder,21,63,0,0,0,1,1,10,1,10
finance-app,com.financeapp.dto,LoginRequest,0,17,0,0,0,4,0,5,0,5
finance-app,com.financeapp.dto,TrendResponse.TrendResponseBuilder,8,28,0,0,0,1,1,5,1,5
finance-app,com.financeapp.dto,AuthResponse.AuthResponseBuilder,8,28,0,0,0,1,1,5,1,5
finance-app,com.financeapp.dto,CategorySummaryResponse,11,19,0,0,2,4,3,4,3,4
finance-app,com.financeapp.dto,DashboardSummaryResponse.DashboardSummaryResponseBuilder,8,28,0,0,0,1,1,5,1,5
finance-app,com.financeapp.dto,RecentTransactionResponse,27,43,0,0,2,8,7,8,7,8
finance-app,com.financeapp.dto,FinancialRecordRequest,0,38,0,0,0,7,0,11,0,11
finance-app,com.financeapp.dto,RoleUpdateRequest,10,0,0,0,3,0,3,0,3,0
finance-app,com.financeapp.dto,UserRequest,0,31,0,0,0,6,0,9,0,9
finance-app,com.financeapp.dto,UserResponse.UserResponseBuilder,20,56,0,0,0,1,1,9,1,9
finance-app,com.financeapp.dto,UserResponse,31,49,0,0,2,9,8,9,8,9
finance-app,com.financeapp.dto,TrendResponse,15,25,0,0,2,5,4,5,4,5
finance-app,com.financeapp.dto,FinancialRecordResponse,35,55,0,0,2,10,9,10,9,10
finance-app,com.financeapp.dto,AuthResponse,15,25,0,0,2,5,4,5,4,5
finance-app,com.financeapp.dto,StatusUpdateRequest,10,0,0,0,3,0,3,0,3,0
finance-app,com.financeapp.dto,DashboardSummaryResponse,15,25,0,0,2,5,4,5,4,5
finance-app,com.financeapp.dto,RecentTransactionResponse.RecentTransactionResponseBuilder,16,49,0,0,0,1,1,8,1,8
finance-app,com.financeapp.entity,Role,0,21,0,0,0,4,0,1,0,1
finance-app,com.financeapp.entity,TransactionType,0,15,0,0,0,3,0,1,0,1
finance-app,com.financeapp.entity,FinancialRecord,19,81,0,0,1,12,5,16,5,16
finance-app,com.financeapp.entity,User.UserBuilder,32,53,0,0,0,1,3,8,3,8
finance-app,com.financeapp.entity,User,32,58,0,0,1,11,8,11,8,11
finance-app,com.financeapp.entity,Status,0,15,0,0,0,3,0,1,0,1
finance-app,com.financeapp.entity,FinancialRecord.FinancialRecordBuilder,35,60,0,0,0,1,3,9,3,9
finance-app,com.financeapp.service.impl,DashboardServiceImpl,12,132,1,1,4,41,2,9,1,9
finance-app,com.financeapp.service.impl,FinancialRecordServiceImpl,6,124,0,0,0,32,1,10,1,10
finance-app,com.financeapp.service.impl,UserServiceImpl,77,54,1,1,14,18,7,3,6,3
finance-app,com.financeapp.service.impl,AuthServiceImpl,0,64,0,2,0,20,0,3,0,2
finance-app,com.financeapp.security,CustomUserDetailsService,0,26,0,0,0,6,0,3,0,3
finance-app,com.financeapp.security,CustomUserDetails,1,41,1,1,0,11,1,9,0,9
finance-app,com.financeapp.security,JwtUtil,61,50,4,0,13,16,7,4,5,4
finance-app,com.financeapp.security,JwtAuthenticationFilter,34,44,3,7,7,12,2,6,0,3
finance-app,com.financeapp.controller,AuthController,0,14,0,0,0,5,0,2,0,2
finance-app,com.financeapp.controller,FinancialRecordController,20,32,0,0,4,8,2,5,2,5
finance-app,com.financeapp.controller,UserController,26,23,0,0,6,7,3,3,3,3
finance-app,com.financeapp.controller,DashboardController,5,26,0,0,1,7,1,5,1,5
finance-app,com.financeapp,FinanceAppApplication,5,3,0,0,2,1,1,1,1,1
finance-app,com.financeapp.config,SecurityConfig,0,154,0,0,0,27,0,7,0,7
finance-app,com.financeapp.config,OpenApiConfig,0,36,0,0,0,13,0,2,0,2
finance-app,com.financeapp.util,UserMapper,0,24,0,0,0,9,0,1,0,1
finance-app,com.financeapp.util,FinancialRecordMapper,0,48,0,0,0,18,0,2,0,2
finance-app,com.financeapp.exception,DuplicateEmailException,5,0,0,0,2,0,1,0,1,0
finance-app,com.financeapp.exception,GlobalExceptionHandler,50,32,2,0,10,6,4,5,3,5
finance-app,com.financeapp.exception,UserNotFoundException,9,0,0,0,4,0,2,0,2,0
finance-app,com.financeapp.exception,GlobalExceptionHandler.ValidationErrorResponse,15,0,0,0,1,0,1,0,1,0
finance-app,com.financeapp.exception,InvalidCredentialsException,0,8,0,0,0,4,0,2,0,2
finance-app,com.financeapp.exception,GlobalExceptionHandler.ErrorResponse,0,12,0,0,0,1,0,1,0,1
finance-app,com.financeapp.exception,ResourceNotFoundException,4,6,0,0,2,2,1,1,1,1
